name,country,subcountry,geonameid
Zubia,España,Andalucía,2509305
Zafra,España,Extremadura,2509377
Yecla,España,Murcia,2509402
Villena,España,Valencia,2509463
Villarrobledo,España,Castille-La Mancha,2509491
Vila-real,España,Valencia,2509509
Villanueva de la Serena,España,Extremadura,2509553
Villajoyosa,España,Valencia,2509588
Vícar,España,Andalucía,2509650
Vélez-Málaga,España,Andalucía,2509769
Valencia,España,Valencia,2509954
Valdepeñas,España,Castille-La Mancha,2509982
Utrera,España,Andalucía,2510073
Ubrique,España,Andalucía,2510112
Úbeda,España,Andalucía,2510116
Totana,España,Murcia,2510224
Torrox,España,Andalucía,2510245
Torrevieja,España,Valencia,2510253
Torre-Pacheco,España,Murcia,2510271
Torrent,España,Valencia,2510279
Torremolinos,España,Andalucía,2510281
Tomelloso,España,Castille-La Mancha,2510392
Tomares,España,Andalucía,2510394
Toledo,España,Castille-La Mancha,2510409
Tías,España,Canarias,2510485
Telde,España,Canarias,2510542
Teguise,España,Canarias,2510573
Tarifa,España,Andalucía,2510599
Talavera de la Reina,España,Castille-La Mancha,2510693
Tacoronte,España,Canarias,2510725
Tavernes de la Valldigna,España,Valencia,2510743
Sueca,España,Valencia,2510764
Silla,España,Valencia,2510880
Sevilla,España,Andalucía,2510911
San Vicent del Raspeig,España,Valencia,2511032
Santomera,España,Murcia,2511050
Santa Pola,España,Valencia,2511102
Santa Lucía,España,Canarias,2511150
Santafé,España,Andalucía,2511160
Santa Eulària des Riu,España,Balearic Islands,2511162
Santa Cruz de Tenerife,España,Canarias,2511174
Santa Cruz de la Palma,España,Canarias,2511180
Santa Brígida,España,Canarias,2511202
San Roque,España,Andalucía,2511239
San Pedro del Pinatar,España,Murcia,2511247
San Pedro de Alcántara,España,Andalucía,2511250
San Miguel De Abona,España,Canarias,2511287
Sanlúcar de Barrameda,España,Andalucía,2511306
San Juan de Aznalfarache,España,Andalucía,2511329
San Juan de Alicante,España,Valencia,2511330
San Javier,España,Murcia,2511366
San Isidro,España,Canarias,2511371
San Fernando,España,Andalucía,2511388
La Laguna,España,Canarias,2511401
San Bartolomé de Tirajana,España,Canarias,2511440
San Bartolomé,España,Canarias,2511447
Sant Antoni de Portmany,España,Balearic Islands,2511448
Sagunto,España,Valencia,2511619
Rota,España,Andalucía,2511700
Roquetas de Mar,España,Andalucía,2511716
Ronda,España,Andalucía,2511730
Rojales,España,Valencia,2511752
Rincón de la Victoria,España,Andalucía,2511852
Ribarroja,España,Valencia,2511880
Requena,España,Valencia,2511930
Realejo Alto,España,Canarias,2511994
Puçol,España,Valencia,2512127
Puerto Real,España,Andalucía,2512169
Puertollano,España,Castille-La Mancha,2512177
Puerto del Rosario,España,Canarias,2512186
Puerto de la Cruz,España,Canarias,2512196
Puente-Genil,España,Andalucía,2512232
La Pobla de Vallbona,España,Valencia,2512251
Priego de Córdoba,España,Andalucía,2512282
Pozoblanco,España,Andalucía,2512340
Pollença,España,Balearic Islands,2512432
Pilar de la Horadada,España,Valencia,2512581
Picassent,España,Valencia,2512620
Paterna,España,Valencia,2512862
Palma,España,Balearic Islands,2512989
Palma del Río,España,Andalucía,2512990
Pájara,España,Canarias,2513026
Paiporta,España,Valencia,2513029
Osuna,España,Andalucía,2513052
Orihuela,España,Valencia,2513076
Ontinyent,España,Valencia,2513106
Onda,España,Valencia,2513115
Oliva,España,Valencia,2513145
Novelda,España,Valencia,2513195
Níjar,España,Andalucía,2513222
Nerja,España,Andalucía,2513240
